,rera_id,building_id,parking_type,count_booked
467,P49800022364,,Covered Parking ( In Numbers),0
468,P49800022439,,Number of Garages ( In Numbers),0
469,P49800022439,,Covered Parking ( In Numbers),0
470,P49800023856,,Number of Garages ( In Numbers),0
471,P49800023856,,Covered Parking ( In Numbers),1
472,P49800023981,,Number of Garages ( In Numbers),0
473,P49800023981,,Covered Parking ( In Numbers),0
474,P49800024259,,Number of Garages ( In Numbers),0
475,P49800024259,,Covered Parking ( In Numbers),0
476,P49800024286,,Number of Garages ( In Numbers),0
477,P49800024286,,Covered Parking ( In Numbers),0
478,P49800027207,,Number of Garages ( In Numbers),0
479,P49800027207,,Covered Parking ( In Numbers),0
480,P49800027357,,Number of Garages ( In Numbers),0
481,P49800027357,,Covered Parking ( In Numbers),0
482,P49800027699,,Number of Garages ( In Numbers),0
483,P49800027699,,Covered Parking ( In Numbers),0
484,P49800029373,,Number of Garages ( In Numbers),0
485,P49800029373,,Covered Parking ( In Numbers),0
486,P49800030562,,Number of Garages ( In Numbers),0
487,P49800030562,,Covered Parking ( In Numbers),0
488,P49800031582,,Number of Garages ( In Numbers),0
489,P49800031582,,Covered Parking ( In Numbers),0
490,P49800031953,,Number of Garages ( In Numbers),0
491,P49800031953,,Covered Parking ( In Numbers),0
492,P49800032033,,Number of Garages ( In Numbers),0
493,P49800032033,,Covered Parking ( In Numbers),0
494,P49800032098,,Number of Garages ( In Numbers),0
495,P49800032098,,Covered Parking ( In Numbers),0
496,P49800033267,,Number of Garages ( In Numbers),0
497,P49800033267,,Covered Parking ( In Numbers),0
498,P49800033908,,Number of Garages ( In Numbers),0
499,P49800033908,,Covered Parking ( In Numbers),0
500,P49800033990,,Number of Garages ( In Numbers),0
501,P49800033990,,Covered Parking ( In Numbers),0
502,P49800034502,,Number of Garages ( In Numbers),0
503,P49800034502,,Covered Parking ( In Numbers),0
504,P49800034619,,Number of Garages ( In Numbers),0
505,P49800034619,,Covered Parking ( In Numbers),0
506,P49800034964,,Number of Garages ( In Numbers),0
507,P49800034964,,Covered Parking ( In Numbers),0
508,P49800045814,,Number of Garages ( In Numbers),0
509,P49800045814,,Covered Parking ( In Numbers),0
510,P49800046176,,Number of Garages ( In Numbers),0
511,P49800046176,,Covered Parking ( In Numbers),0
512,P49900000069,,Number of Garages ( In Numbers),0
513,P49900000069,,Covered Parking ( In Numbers),0
514,P49900000128,,Number of Garages ( In Numbers),0
515,P49900000128,,Covered Parking ( In Numbers),0
516,P49900000226,,Number of Garages ( In Numbers),0
517,P49900000226,,Covered Parking ( In Numbers),54
518,P49900000250,,Number of Garages ( In Numbers),0
519,P49900000250,,Covered Parking ( In Numbers),0
520,P49900000600,,Number of Garages ( In Numbers),0
521,P49900000600,,Covered Parking ( In Numbers),0
522,P49900001384,,Number of Garages ( In Numbers),0
523,P49900001384,,Covered Parking ( In Numbers),0
524,P49900001386,,Number of Garages ( In Numbers),0
525,P49900001386,,Covered Parking ( In Numbers),0
526,P49900001540,,Number of Garages ( In Numbers),0
527,P49900001540,,Covered Parking ( In Numbers),0
528,P49900001591,,Number of Garages ( In Numbers),0
529,P49900001591,,Covered Parking ( In Numbers),6
530,P49900001778,,Number of Garages ( In Numbers),0
531,P49900001778,,Covered Parking ( In Numbers),0
532,P49900002142,,Number of Garages ( In Numbers),0
533,P49900002142,,Covered Parking ( In Numbers),0
534,P49900002506,,Number of Garages ( In Numbers),0
535,P49900002506,,Covered Parking ( In Numbers),9
536,P49900002963,,Number of Garages ( In Numbers),0
537,P49900002963,,Covered Parking ( In Numbers),0
538,P49900003376,,Number of Garages ( In Numbers),0
539,P49900003376,,Covered Parking ( In Numbers),0
540,P49900003684,,Number of Garages ( In Numbers),0
541,P49900003684,,Covered Parking ( In Numbers),0
542,P49900005223,,Number of Garages ( In Numbers),0
543,P49900005223,,Covered Parking ( In Numbers),0
544,P49900005296,,Number of Garages ( In Numbers),0
545,P49900005296,,Covered Parking ( In Numbers),0
546,P49900006167,,Number of Garages ( In Numbers),0
547,P49900006167,,Covered Parking ( In Numbers),0
548,P49900006545,,Number of Garages ( In Numbers),0
549,P49900006545,,Covered Parking ( In Numbers),0
550,P49900006767,,Number of Garages ( In Numbers),0
551,P49900006767,,Covered Parking ( In Numbers),0
552,P49900007176,,Number of Garages ( In Numbers),0
553,P49900007176,,Covered Parking ( In Numbers),0
